,ObjectID,GlobalID,consent,genero,bairro,bairro_outro,is_fisher,arte,arte_outra,arte_princip,familia_pesc,switch,familia_groupos,familia_artes_count,prod,prod_outra,prod_count,prod_list,prod_ordered,CreationDate,Creator,EditDate,Editor,Apontamentos,ccp,x,y,gleaner,fisher
255,256,23c5423c-2bf4-488a-ada8-c4ca34d9b7dc,sim,mulher,conguiana,,sim,"rec,tarrafa",,"rec,tarrafa",sim,,"meninos,meninas",15,"60_matewo,61_mapalo_mavalo,66_mahoma_sikuilivita,56_mavandzi",,29,"60_matewo,61_mapalo_mavalo,66_mahoma_sikuilivita,56_mavandzi","66_mahoma_sikuilivita,60_matewo,61_mapalo_mavalo,56_mavandzi",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,troca farinha,nhamua,35.4801957,-23.80669725,yes,no
256,257,10bad7be-d89c-427c-a9c9-8a8aa30af7d4,sim,mulher,conguiana,,sim,"rec,tarrafa",,"rec,tarrafa",nao,,,0,"60_matewo,56_mavandzi,61_mapalo_mavalo",,22,"60_matewo,56_mavandzi,61_mapalo_mavalo","60_matewo,61_mapalo_mavalo,56_mavandzi",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.48031163,-23.80607034,yes,no
257,258,19d76240-3187-4527-9adb-d0e7c2647ee7,sim,homen,conguiana,,sim,rec,,rec,nao,,,0,"60_matewo,66_mahoma_sikuilivita,50_dzindrolo",,23,"60_matewo,66_mahoma_sikuilivita,50_dzindrolo","50_dzindrolo,66_mahoma_sikuilivita,60_matewo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.48113023,-23.80568163,yes,no
258,259,90edc37c-ffbe-4d35-8b04-db6831427fae,sim,homen,conguiana,,sim,rec,,rec,sim,,"homens_adultos,meninos",22,"80_dzisolo,66_mahoma_sikuilivita",dzisolo,12,"80_dzisolo,66_mahoma_sikuilivita","66_mahoma_sikuilivita,80_dzisolo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.4826118,-23.80485657,yes,no
259,260,4d72c61c-b4d2-4bbf-acd7-f74c1abf4cf6,sim,mulher,nhamua,,sim,rec,,rec,sim,,"homens_adultos,meninos,meninas",30,"60_matewo,61_mapalo_mavalo,50_dzindrolo,66_mahoma_sikuilivita",,30,"60_matewo,61_mapalo_mavalo,50_dzindrolo,66_mahoma_sikuilivita",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.48301779,-23.80495237,yes,no
260,261,62e8b2df-7d6c-4293-bb58-ab85146275ee,sim,mulher,nhamua,,sim,rec,,rec,sim,,homens_adultos,14,"dzinzanz,61_mapalo_mavalo,60_matewo,50_dzindrolo",,32,"dzinzanz,61_mapalo_mavalo,60_matewo,50_dzindrolo",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.48964054,-23.81237377,yes,no
261,262,e2a5125c-9281-4acf-b376-91e347d1303e,sim,mulher,nhamua,,sim,rec,,rec,sim,,mulheres_adultos,16,"60_matewo,61_mapalo_mavalo,50_dzindrolo",,23,"60_matewo,61_mapalo_mavalo,50_dzindrolo","50_dzindrolo,60_matewo,61_mapalo_mavalo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49039254,-23.81259075,yes,no
262,263,2efa5e75-bcda-4302-8ead-5793ebb15471,nao,,nhamua,,sim,rec,,rec,nao,,,0,"60_matewo,dzinzanz,50_dzindrolo",,25,"60_matewo,dzinzanz,50_dzindrolo","50_dzindrolo,nan,60_matewo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49060202,-23.81313632,yes,no
263,264,dca93ebe-ee3e-420c-b99f-dbcf86f434aa,sim,mulher,nhamua,,sim,rec,,rec,nao,,,0,"60_matewo,50_dzindrolo,dzinzanz,56_mavandzi,76_marengue,78_togoma",,50,"60_matewo,50_dzindrolo,dzinzanz,56_mavandzi,76_marengue,78_togoma","50_dzindrolo,nan,76_marengue,60_matewo,56_mavandzi,78_togoma",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49060639,-23.81313907,yes,no
264,265,28a1a959-bf5b-4305-884e-92ed732f86ae,sim,mulher,nhamua,,sim,"rec,tarrafa",,"rec,tarrafa",nao,,,0,"50_dzindrolo,56_mavandzi,63_nhamunhe",,27,"50_dzindrolo,56_mavandzi,63_nhamunhe",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49061433,-23.81313861,yes,no
265,266,e0aedaf3-5250-465c-a5de-a9b4ffd23260,sim,mulher,nhamua,,sim,rec,,rec,sim,,homens_adultos,14,"61_mapalo_mavalo,50_dzindrolo,dzinzanz",,25,"61_mapalo_mavalo,50_dzindrolo,dzinzanz","50_dzindrolo,nan,61_mapalo_mavalo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,"dzinrolo sempre esta, mavalo tem epoca ",nhamua,35.4909279,-23.81359119,yes,no
266,267,31e0c931-e186-4484-a182-5e313a04e69b,sim,mulher,nhamua,,sim,rec,,rec,sim,,homens_adultos,14,"60_matewo,61_mapalo_mavalo,dzinzanz,74_makolo,66_mahoma_sikuilivita",,36,"60_matewo,61_mapalo_mavalo,dzinzanz,74_makolo,66_mahoma_sikuilivita","nan,66_mahoma_sikuilivita,74_makolo,60_matewo,61_mapalo_mavalo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49115705,-23.81471441,yes,no
267,268,d0dee354-7fa2-45bf-a78d-6127a827c4e3,sim,mulher,nhamua,,sim,"tarrafa,rec",,"tarrafa,rec",nao,,,0,"50_dzindrolo,56_mavandzi,63_nhamunhe,66_mahoma_sikuilivita,61_mapalo_mavalo,60_matewo,dzinzanz",,57,"50_dzindrolo,56_mavandzi,63_nhamunhe,66_mahoma_sikuilivita,61_mapalo_mavalo,60_matewo,dzinzanz","50_dzindrolo,nan,66_mahoma_sikuilivita,60_matewo,61_mapalo_mavalo,56_mavandzi,63_nhamunhe",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49273407,-23.81747854,yes,no
