,name,ccp,1,2,3,4,5,6,7,8,9,total_count,score,score_prop,practica
175,kuku,morrumbene,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.42134831460674155,pescadores
176,lidume,morrumbene,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,1.6151685393258428,pescadores
177,likerere,morrumbene,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,12.0,0.8426966292134831,pescadores
178,magumba,morrumbene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.21067415730337077,pescadores
179,masaba,morrumbene,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,9.0,57.0,4.002808988764045,pescadores
180,mavandzi,morrumbene,16.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,25.0,194.0,13.623595505617978,pescadores
181,mavionho,morrumbene,0.0,4.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,11.0,64.0,4.49438202247191,pescadores
182,mbabe,morrumbene,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,9.0,45.0,3.160112359550562,pescadores
183,mifiti,morrumbene,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,7.0,29.0,2.0365168539325844,pescadores
184,mihili,morrumbene,2.0,0.0,6.0,4.0,2.0,2.0,0.0,2.0,0.0,18.0,106.0,7.443820224719102,pescadores
185,nhabugue,morrumbene,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,15.0,1.053370786516854,pescadores
186,nhakomani,morrumbene,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.21067415730337077,pescadores
187,nhanguedwa,morrumbene,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.35112359550561795,pescadores
188,nharongue,morrumbene,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,30.0,2.106741573033708,pescadores
189,salani,morrumbene,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,7.0,24.0,1.6853932584269662,pescadores
190,sigulula,morrumbene,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,12.0,0.8426966292134831,pescadores
191,tendre,morrumbene,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,8.0,43.0,3.019662921348315,pescadores
192,togoma,morrumbene,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.42134831460674155,pescadores
193,tsakanhani,morrumbene,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,39.0,2.7387640449438204,pescadores
194,tsava,morrumbene,2.0,3.0,3.0,8.0,2.0,2.0,1.0,0.0,1.0,22.0,133.0,9.339887640449438,pescadores
195,tsongua,morrumbene,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,9.0,31.0,2.1769662921348316,pescadores
196,xereua,morrumbene,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,6.0,29.0,2.0365168539325844,pescadores
